rank,phase,leftId,leftName,leftBrand,rightId,rightName,rightBrand,cosine,jaccard,classification,reason
1,before,217,メンズビオレ 泡タイプ洗顔 つめかえ,メンズビオレ,227,メンズビオレ ダブルスクラブ洗顔,メンズビオレ,1.0000,1.0000,E,泡タイプ詰め替えとダブルスクラブという別仕様なのに説明文が完全一致
2,before,209,UNO スキンセラムウォーター f 化粧水 200mL,UNO,213,マーロ MARO17 スキンローション 180ml MARO 化粧水・ローション,MARO,0.9891,0.9667,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
3,before,216,ギャツビー フェイシャルウォッシュ パーフェクトスクラブ,GATSBY,233,OXY ディープウォッシュ 130g,OXY,0.9853,0.9581,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
4,before,235,ウーノ UVパーフェクションジェル fA 80g 男性化粧品 フェイス用,UNO,236,コーセーコスメポート サンカット パーフェクトUV スプレー SPF50,コーセー,0.9841,0.9542,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
5,before,209,UNO スキンセラムウォーター f 化粧水 200mL,UNO,212,ジゲン オールインワンフェイスジェル 100g,ZIGEN,0.9825,0.9474,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
6,before,238,ニベアメン センシティブ クール アフターシェーブバーム,ニベアメン,240,POLA ポーラ ギャラントムII アフターシェーブローション 180ml 男性用,POLA,0.9824,0.9451,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
7,before,212,ジゲン オールインワンフェイスジェル 100g,ZIGEN,213,マーロ MARO17 スキンローション 180ml MARO 化粧水・ローション,MARO,0.9804,0.9412,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
8,before,217,メンズビオレ 泡タイプ洗顔 つめかえ,メンズビオレ,229,ストーリア MARO マーロ 全身用クレンジングソープ つめかえ用 詰め替え用,MARO,0.9774,0.9412,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
9,before,227,メンズビオレ ダブルスクラブ洗顔,メンズビオレ,229,ストーリア MARO マーロ 全身用クレンジングソープ つめかえ用 詰め替え用,MARO,0.9774,0.9412,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
10,before,219,リップスボーイ 薬用フェイスウォッシュ 150ml 濃密 泡洗顔 メンズ,LIPPS BOY,229,ストーリア MARO マーロ 全身用クレンジングソープ つめかえ用 詰め替え用,MARO,0.9729,0.9231,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
11,before,218,ウーノ uno ホイップウォッシュ 3+おまけ 炭 洗顔 アブラ テカリ サラサラ,UNO,234,NULL 薬用アクネブロックフェイスウォッシュ 本体/ライムシトラス,NULL,0.9712,0.9091,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
12,before,226,ニベアメン フェイスウォッシュ モイスト,ニベアメン,233,OXY ディープウォッシュ 130g,OXY,0.9705,0.9176,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
13,before,217,メンズビオレ 泡タイプ洗顔 つめかえ,メンズビオレ,219,リップスボーイ 薬用フェイスウォッシュ 150ml 濃密 泡洗顔 メンズ,LIPPS BOY,0.9686,0.9172,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
14,before,219,リップスボーイ 薬用フェイスウォッシュ 150ml 濃密 泡洗顔 メンズ,LIPPS BOY,227,メンズビオレ ダブルスクラブ洗顔,メンズビオレ,0.9686,0.9172,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
15,before,230,メンズビオレ ミクロスクラブ洗顔,メンズビオレ,233,OXY ディープウォッシュ 130g,OXY,0.9686,0.9176,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
16,before,226,ニベアメン フェイスウォッシュ モイスト,ニベアメン,230,メンズビオレ ミクロスクラブ洗顔,メンズビオレ,0.9645,0.9070,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
17,before,216,ギャツビー フェイシャルウォッシュ パーフェクトスクラブ,GATSBY,226,ニベアメン フェイスウォッシュ モイスト,ニベアメン,0.9644,0.9017,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
18,before,216,ギャツビー フェイシャルウォッシュ パーフェクトスクラブ,GATSBY,230,メンズビオレ ミクロスクラブ洗顔,メンズビオレ,0.9625,0.9017,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
19,before,221,ニベアUV ニベアメン UVプロテクトジェル 40g SPF50+ PA+++,ニベアメン,226,ニベアメン フェイスウォッシュ モイスト,ニベアメン,0.9624,0.8966,A,同ブランド・近接カテゴリに由来する正当な類似
20,before,229,ストーリア MARO マーロ 全身用クレンジングソープ つめかえ用 詰め替え用,MARO,235,ウーノ UVパーフェクションジェル fA 80g 男性化粧品 フェイス用,UNO,0.9613,0.8917,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
21,before,221,ニベアUV ニベアメン UVプロテクトジェル 40g SPF50+ PA+++,ニベアメン,233,OXY ディープウォッシュ 130g,OXY,0.9580,0.8851,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
22,before,217,メンズビオレ 泡タイプ洗顔 つめかえ,メンズビオレ,230,メンズビオレ ミクロスクラブ洗顔,メンズビオレ,0.9576,0.8855,A,同ブランド・近接カテゴリに由来する正当な類似
23,before,227,メンズビオレ ダブルスクラブ洗顔,メンズビオレ,230,メンズビオレ ミクロスクラブ洗顔,メンズビオレ,0.9576,0.8855,A,同ブランド・近接カテゴリに由来する正当な類似
24,before,234,NULL 薬用アクネブロックフェイスウォッシュ 本体/ライムシトラス,NULL,241,ロート スキンアクア ネクスタ シールド セラム UV ミルク 50ml,ロート製薬,0.9574,0.8696,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
25,before,210,ニベアメン アクティブエイジローション,ニベアメン,231,ニベアメン アクティブエイジクリーム,ニベアメン,0.9565,0.8827,A,同ブランド・近接カテゴリに由来する正当な類似
26,before,229,ストーリア MARO マーロ 全身用クレンジングソープ つめかえ用 詰め替え用,MARO,236,コーセーコスメポート サンカット パーフェクトUV スプレー SPF50,コーセー,0.9546,0.8742,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
27,before,229,ストーリア MARO マーロ 全身用クレンジングソープ つめかえ用 詰め替え用,MARO,237,花王 ニベアメンスキンコンディショナーバーム110ml メンズスキンケア 乳液,ニベアメン,0.9546,0.8742,F,双方とも商品固有一次情報が未記録で、掲載分類中心のため類似
